Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1526904975,2018-05-21T12:16:15Z,CPA676,"32.001778,34.875328",0,12,270
1526904991,2018-05-21T12:16:31Z,CPA676,"32.001869,34.875591",0,10,298
1526905007,2018-05-21T12:16:47Z,CPA676,"32.001904,34.875839",0,10,334
1526905022,2018-05-21T12:17:02Z,CPA676,"32.001812,34.876057",0,11,8
1526905052,2018-05-21T12:17:32Z,CPA676,"32.001511,34.876072",0,2,36
1526905102,2018-05-21T12:18:22Z,CPA676,"32.001312,34.875957",0,12,30
1526905283,2018-05-21T12:21:23Z,CPA676,"32.001392,34.876198",0,2,30
1526905307,2018-05-21T12:21:47Z,CPA676,"32.001709,34.876457",0,13,30
1526905319,2018-05-21T12:21:59Z,CPA676,"32.001915,34.876633",0,14,30
1526905339,2018-05-21T12:22:19Z,CPA676,"32.002289,34.876938",0,16,30
1526905354,2018-05-21T12:22:34Z,CPA676,"32.002663,34.877235",0,18,30
1526905365,2018-05-21T12:22:45Z,CPA676,"32.002979,34.877472",0,18,30
1526905379,2018-05-21T12:22:59Z,CPA676,"32.003304,34.877724",0,18,30
1526905389,2018-05-21T12:23:09Z,CPA676,"32.003628,34.877975",0,18,30
1526905401,2018-05-21T12:23:21Z,CPA676,"32.003941,34.878227",0,18,30
1526905417,2018-05-21T12:23:37Z,CPA676,"32.004215,34.87846",0,13,30
1526905443,2018-05-21T12:24:03Z,CPA676,"32.004677,34.878845",0,14,30
1526905461,2018-05-21T12:24:21Z,CPA676,"32.004932,34.87907",0,10,30
1526905480,2018-05-21T12:24:40Z,CPA676,"32.005211,34.879391",0,18,42
1526905490,2018-05-21T12:24:50Z,CPA676,"32.005131,34.879684",0,14,78
1526905500,2018-05-21T12:25:00Z,CPA676,"32.004993,34.87989",0,13,104
1526905514,2018-05-21T12:25:14Z,CPA676,"32.004791,34.880177",0,20,120
1526905522,2018-05-21T12:25:22Z,CPA676,"32.004604,34.880497",0,20,120
1526905529,2018-05-21T12:25:29Z,CPA676,"32.004478,34.880722",0,20,120
1526905536,2018-05-21T12:25:36Z,CPA676,"32.004353,34.880959",0,21,120
1526905542,2018-05-21T12:25:42Z,CPA676,"32.004223,34.881184",0,22,120
1526905560,2018-05-21T12:26:00Z,CPA676,"32.003815,34.881943",0,24,120
1526905571,2018-05-21T12:26:11Z,CPA676,"32.003494,34.882526",0,26,120
1526905583,2018-05-21T12:26:23Z,CPA676,"32.003139,34.883171",0,28,120
1526905590,2018-05-21T12:26:30Z,CPA676,"32.002918,34.883568",0,29,120
1526905670,2018-05-21T12:27:50Z,CPA676,"32.000984,34.887939",0,24,64
1526905688,2018-05-21T12:28:08Z,CPA676,"32.001743,34.888416",0,28,28
1526905764,2018-05-21T12:29:24Z,CPA676,"32.005421,34.891022",0,33,28
1526905772,2018-05-21T12:29:32Z,CPA676,"32.005756,34.891273",0,33,28
1526905781,2018-05-21T12:29:41Z,CPA676,"32.006351,34.891697",0,15,28
1526905794,2018-05-21T12:29:54Z,CPA676,"32.007191,34.892262",0,16,28
1526905808,2018-05-21T12:30:08Z,CPA676,"32.008106,34.892906",0,16,28
1526905868,2018-05-21T12:31:08Z,CPA676,"32.012463,34.895927",0,21,28
1526905991,2018-05-21T12:33:11Z,CPA676,"32.017044,34.88813",175,118,259
1526905997,2018-05-21T12:33:17Z,CPA676,"32.016533,34.884674",175,138,259
1526906007,2018-05-21T12:33:27Z,CPA676,"32.015278,34.876377",125,171,259
1526906023,2018-05-21T12:33:43Z,CPA676,"32.01281,34.860573",700,185,259
1526906031,2018-05-21T12:33:51Z,CPA676,"32.011826,34.853962",1050,183,259
1526906040,2018-05-21T12:34:00Z,CPA676,"32.009972,34.843758",1575,182,258
