Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1526638283,2018-05-18T10:11:23Z,CHH7958,"32.005932,34.874741",0,0,0
1526638391,2018-05-18T10:13:11Z,CHH7958,"32.00592,34.874741",0,0,180
1526638472,2018-05-18T10:14:32Z,CHH7958,"32.005932,34.874741",0,0,180
1526639071,2018-05-18T10:24:31Z,CHH7958,"32.00592,34.874741",0,0,180
1526639246,2018-05-18T10:27:26Z,CHH7958,"32.005932,34.874741",0,0,180
1526639405,2018-05-18T10:30:05Z,CHH7958,"32.00592,34.874741",0,0,180
1526639619,2018-05-18T10:33:39Z,CHH7958,"32.005932,34.874741",0,0,180
1526639884,2018-05-18T10:38:04Z,CHH7958,"32.005932,34.874741",0,0,271
1526641093,2018-05-18T10:58:13Z,CHH7958,"32.005932,34.874741",0,0,180
1526642702,2018-05-18T11:25:02Z,CHH7958,"32.005932,34.874725",0,0,271
1526642971,2018-05-18T11:29:31Z,CHH7958,"32.00592,34.874741",0,0,180
1526643162,2018-05-18T11:32:42Z,CHH7958,"32.005932,34.874725",0,0,309
1526643617,2018-05-18T11:40:17Z,CHH7958,"32.005932,34.874741",0,0,89
1526644297,2018-05-18T11:51:37Z,CHH7958,"32.006035,34.875",0,10,239
1526644312,2018-05-18T11:51:52Z,CHH7958,"32.006096,34.875202",0,9,227
1526644332,2018-05-18T11:52:12Z,CHH7958,"32.006283,34.875565",0,13,180
1526644371,2018-05-18T11:52:51Z,CHH7958,"32.006409,34.875957",0,13,120
1526644426,2018-05-18T11:53:46Z,CHH7958,"32.006081,34.875122",0,0,118
1526644456,2018-05-18T11:54:16Z,CHH7958,"32.006344,34.876099",0,0,118
1526644640,2018-05-18T11:57:20Z,CHH7958,"32.00613,34.876492",0,14,120
1526644649,2018-05-18T11:57:29Z,CHH7958,"32.006023,34.876717",0,14,120
1526644695,2018-05-18T11:58:15Z,CHH7958,"32.00671,34.87706",0,19,331
1526644705,2018-05-18T11:58:25Z,CHH7958,"32.006828,34.876801",0,19,309
1526644749,2018-05-18T11:59:09Z,CHH7958,"32.0079,34.874725",0,18,300
1526644914,2018-05-18T12:01:54Z,CHH7958,"32.008072,34.87439",0,9,300
1526644926,2018-05-18T12:02:06Z,CHH7958,"32.00819,34.874165",0,15,300
1526644939,2018-05-18T12:02:19Z,CHH7958,"32.008278,34.873669",0,20,278
1526644949,2018-05-18T12:02:29Z,CHH7958,"32.008072,34.873447",0,15,236
1526644961,2018-05-18T12:02:41Z,CHH7958,"32.007889,34.873142",0,16,241
1526644970,2018-05-18T12:02:50Z,CHH7958,"32.007969,34.872856",0,19,272
1526644977,2018-05-18T12:02:57Z,CHH7958,"32.008141,34.872612",0,21,298
1526644985,2018-05-18T12:03:05Z,CHH7958,"32.008316,34.872299",0,20,300
1526644999,2018-05-18T12:03:19Z,CHH7958,"32.008587,34.871773",0,19,300
1526645009,2018-05-18T12:03:29Z,CHH7958,"32.008747,34.87146",0,18,300
1526645111,2018-05-18T12:05:11Z,CHH7958,"32.008911,34.871151",0,11,300
1526645127,2018-05-18T12:05:27Z,CHH7958,"32.009079,34.870811",0,16,300
1526645151,2018-05-18T12:05:51Z,CHH7958,"32.009518,34.869987",0,18,300
1526645164,2018-05-18T12:06:04Z,CHH7958,"32.00964,34.869755",0,10,300
1526645745,2018-05-18T12:15:45Z,CHH7958,"32.009644,34.869736",0,0,317
1526645891,2018-05-18T12:18:11Z,CHH7958,"32.01012,34.869179",0,20,329
1526645902,2018-05-18T12:18:22Z,CHH7958,"32.010441,34.869286",0,19,8
1526645909,2018-05-18T12:18:29Z,CHH7958,"32.010693,34.869259",0,19,354
1526645919,2018-05-18T12:18:39Z,CHH7958,"32.010925,34.868965",0,20,320
1526645926,2018-05-18T12:18:46Z,CHH7958,"32.011036,34.86871",0,22,306
1526645936,2018-05-18T12:18:56Z,CHH7958,"32.011204,34.868378",0,20,300
1526645945,2018-05-18T12:19:05Z,CHH7958,"32.011322,34.86816",0,12,300
1526646008,2018-05-18T12:20:08Z,CHH7958,"32.010784,34.869164",0,0,271
1526646059,2018-05-18T12:20:59Z,CHH7958,"32.011333,34.868134",0,0,89
1526646285,2018-05-18T12:24:45Z,CHH7958,"32.011532,34.86776",0,15,300
1526646293,2018-05-18T12:24:53Z,CHH7958,"32.011631,34.867558",0,18,300
1526646300,2018-05-18T12:25:00Z,CHH7958,"32.011711,34.867325",0,20,295
1526646306,2018-05-18T12:25:06Z,CHH7958,"32.011745,34.86705",0,24,284
1526646312,2018-05-18T12:25:12Z,CHH7958,"32.011669,34.86657",0,29,261
1526646497,2018-05-18T12:28:17Z,CHH7958,"32.011147,34.863068",0,0,261
1526646619,2018-05-18T12:30:19Z,CHH7958,"32.011127,34.86282",0,13,267
1526646634,2018-05-18T12:30:34Z,CHH7958,"32.011173,34.86227",0,21,275
1526646657,2018-05-18T12:30:57Z,CHH7958,"32.011494,34.86095",0,27,286
1526646666,2018-05-18T12:31:06Z,CHH7958,"32.011608,34.86047",0,26,286
1526646684,2018-05-18T12:31:24Z,CHH7958,"32.011677,34.859249",0,33,267
1526646691,2018-05-18T12:31:31Z,CHH7958,"32.011612,34.858765",0,34,261
1526646702,2018-05-18T12:31:42Z,CHH7958,"32.011482,34.857876",0,29,258
1526646708,2018-05-18T12:31:48Z,CHH7958,"32.011436,34.857586",0,27,261
1526646716,2018-05-18T12:31:56Z,CHH7958,"32.011471,34.85714",0,25,275
1526646740,2018-05-18T12:32:20Z,CHH7958,"32.012341,34.857201",0,20,42
1526646759,2018-05-18T12:32:39Z,CHH7958,"32.012501,34.858398",0,19,78
1526646772,2018-05-18T12:32:52Z,CHH7958,"32.012997,34.861679",0,67,78
1526646803,2018-05-18T12:33:23Z,CHH7958,"32.016396,34.884396",425,177,80
1526646823,2018-05-18T12:33:43Z,CHH7958,"32.019058,34.903179",1450,171,79
1526646829,2018-05-18T12:33:49Z,CHH7958,"32.019512,34.908554",1700,169,86
1526646851,2018-05-18T12:34:11Z,CHH7958,"32.012764,34.925594",2325,168,136
1526646865,2018-05-18T12:34:25Z,CHH7958,"32.001682,34.928844",2525,169,158
1526646885,2018-05-18T12:34:45Z,CHH7958,"31.989441,34.918724",2950,176,235
1526646896,2018-05-18T12:34:56Z,CHH7958,"31.984955,34.909058",3125,178,241
1526646910,2018-05-18T12:35:10Z,CHH7958,"31.979095,34.895927",3400,184,243
1526647003,2018-05-18T12:36:43Z,CHH7958,"31.983444,34.813587",4275,254,286
1526647025,2018-05-18T12:37:05Z,CHH7958,"31.998659,34.75396",5425,284,286
1526647061,2018-05-18T12:37:41Z,CHH7958,"32.006104,34.723885",6100,291,286
1526647074,2018-05-18T12:37:54Z,CHH7958,"32.017181,34.678673",7300,292,286
1526647107,2018-05-18T12:38:27Z,CHH7958,"32.023331,34.653568",7875,297,286
1526647120,2018-05-18T12:38:40Z,CHH7958,"32.027252,34.629509",8150,300,276
1526647136,2018-05-18T12:38:56Z,CHH7958,"32.028683,34.606205",8350,295,273
1526647164,2018-05-18T12:39:24Z,CHH7958,"32.034805,34.559032",9425,294,293
1526647175,2018-05-18T12:39:35Z,CHH7958,"32.05843,34.531769",10375,304,333
1526647196,2018-05-18T12:39:56Z,CHH7958,"32.088547,34.525414",10975,316,355
1526647208,2018-05-18T12:40:08Z,CHH7958,"32.106537,34.524261",11150,329,357
1526647221,2018-05-18T12:40:21Z,CHH7958,"32.125374,34.523472",11325,342,357
