Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1526876072,2018-05-21T04:14:32Z,AFL150,"55.964836,37.408386",0,2,255
1526876137,2018-05-21T04:15:37Z,AFL150,"55.966171,37.407246",0,19,345
1526876196,2018-05-21T04:16:36Z,AFL150,"55.967754,37.406406",0,20,329
1526876255,2018-05-21T04:17:35Z,AFL150,"55.967354,37.402081",0,24,255
1526876269,2018-05-21T04:17:49Z,AFL150,"55.967205,37.401081",0,25,255
1526876309,2018-05-21T04:18:29Z,AFL150,"55.966625,37.397224",0,33,255
1526876368,2018-05-21T04:19:28Z,AFL150,"55.965614,37.390491",0,25,253
1526876387,2018-05-21T04:19:47Z,AFL150,"55.965408,37.389034",0,21,258
1526876394,2018-05-21T04:19:54Z,AFL150,"55.965408,37.388596",0,20,275
1526876409,2018-05-21T04:20:09Z,AFL150,"55.965672,37.387699",0,23,306
1526876415,2018-05-21T04:20:15Z,AFL150,"55.965889,37.38739",0,26,326
1526876424,2018-05-21T04:20:24Z,AFL150,"55.966187,37.387222",0,22,345
1526876435,2018-05-21T04:20:35Z,AFL150,"55.966656,37.386993",0,21,345
1526876444,2018-05-21T04:20:44Z,AFL150,"55.966942,37.386913",0,17,351
1526876528,2018-05-21T04:22:08Z,AFL150,"55.967503,37.388824",0,33,75
1526876536,2018-05-21T04:22:16Z,AFL150,"55.967766,37.390553",0,36,75
1526876543,2018-05-21T04:22:23Z,AFL150,"55.968315,37.394196",0,69,75
1526876556,2018-05-21T04:22:36Z,AFL150,"55.969917,37.404907",0,115,75
1526876565,2018-05-21T04:22:45Z,AFL150,"55.971607,37.416195",0,150,75
1526876583,2018-05-21T04:23:03Z,AFL150,"55.97525,37.441147",725,168,74
1526876606,2018-05-21T04:23:26Z,AFL150,"55.979828,37.469872",1875,156,74
1526876621,2018-05-21T04:23:41Z,AFL150,"55.982574,37.489262",2375,156,76
1526876637,2018-05-21T04:23:57Z,AFL150,"55.985229,37.508656",2725,160,75
1526876651,2018-05-21T04:24:11Z,AFL150,"55.98777,37.527153",3125,161,76
1526876662,2018-05-21T04:24:22Z,AFL150,"55.98967,37.540615",3425,161,76
1526876670,2018-05-21T04:24:30Z,AFL150,"55.991318,37.552353",3600,164,75
1526876681,2018-05-21T04:24:41Z,AFL150,"55.993195,37.56567",3750,176,75
1526876692,2018-05-21T04:24:52Z,AFL150,"55.995621,37.582397",3875,186,75
1526876707,2018-05-21T04:25:07Z,AFL150,"55.999039,37.606117",4075,205,75
1526876718,2018-05-21T04:25:18Z,AFL150,"56.001617,37.624428",4250,218,75
1526876728,2018-05-21T04:25:28Z,AFL150,"56.00441,37.64349",4425,233,75
1526876737,2018-05-21T04:25:37Z,AFL150,"56.007183,37.661991",4600,245,74
1526876752,2018-05-21T04:25:52Z,AFL150,"56.011745,37.69083",5100,252,74
1526876764,2018-05-21T04:26:04Z,AFL150,"56.016312,37.71315",5700,249,64
1526876771,2018-05-21T04:26:11Z,AFL150,"56.021942,37.726364",6100,247,48
