Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1526660357,2018-05-18T16:19:17Z,AFL270,"55.967636,37.419518",0,11,298
1526660364,2018-05-18T16:19:24Z,AFL270,"55.967617,37.419724",0,11,309
1526660395,2018-05-18T16:19:55Z,AFL270,"55.967388,37.420265",0,2,345
1526660628,2018-05-18T16:23:48Z,AFL270,"55.968918,37.419498",0,11,343
1526660674,2018-05-18T16:24:34Z,AFL270,"55.969292,37.419285",0,14,343
1526660688,2018-05-18T16:24:48Z,AFL270,"55.969639,37.419197",0,19,8
1526660696,2018-05-18T16:24:56Z,AFL270,"55.969849,37.41935",0,20,33
1526660707,2018-05-18T16:25:07Z,AFL270,"55.970058,37.420097",0,21,78
1526660725,2018-05-18T16:25:25Z,AFL270,"55.970245,37.421471",0,27,75
1526660733,2018-05-18T16:25:33Z,AFL270,"55.970383,37.422329",0,32,75
1526660748,2018-05-18T16:25:48Z,AFL270,"55.970558,37.423531",0,14,75
1526660764,2018-05-18T16:26:04Z,AFL270,"55.970638,37.424072",0,19,75
1526660872,2018-05-18T16:27:52Z,AFL270,"55.970798,37.425156",0,15,75
1526660888,2018-05-18T16:28:08Z,AFL270,"55.970867,37.425594",0,11,75
1526660902,2018-05-18T16:28:22Z,AFL270,"55.970901,37.425842",0,13,75
1526660915,2018-05-18T16:28:35Z,AFL270,"55.970966,37.426277",0,18,75
1526660923,2018-05-18T16:28:43Z,AFL270,"55.971024,37.426708",0,17,75
1526660932,2018-05-18T16:28:52Z,AFL270,"55.971062,37.426926",0,12,75
1526660941,2018-05-18T16:29:01Z,AFL270,"55.971096,37.427174",0,15,75
1526660975,2018-05-18T16:29:35Z,AFL270,"55.971325,37.428715",0,17,75
1526661046,2018-05-18T16:30:46Z,AFL270,"55.971382,37.429108",0,11,75
1526661166,2018-05-18T16:32:46Z,AFL270,"55.971523,37.430035",0,19,75
1526661182,2018-05-18T16:33:02Z,AFL270,"55.971645,37.430836",0,22,75
1526661191,2018-05-18T16:33:11Z,AFL270,"55.971714,37.431316",0,19,75
1526661320,2018-05-18T16:35:20Z,AFL270,"55.972027,37.433338",0,15,75
1526661431,2018-05-18T16:37:11Z,AFL270,"55.972084,37.433788",0,12,75
