Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1526809802,2018-05-20T09:50:02Z,THY79K,"40.976002,28.815735",0,0,106
1526810596,2018-05-20T10:03:16Z,THY79K,"40.975945,28.815735",0,0,271
1526810851,2018-05-20T10:07:31Z,THY79K,"40.975945,28.815735",0,0,180
1526811878,2018-05-20T10:24:38Z,THY79K,"40.975903,28.81575",0,2,180
1526811917,2018-05-20T10:25:17Z,THY79K,"40.975685,28.815811",0,2,184
1526811950,2018-05-20T10:25:50Z,THY79K,"40.975468,28.815859",0,2,173
1526811971,2018-05-20T10:26:11Z,THY79K,"40.97525,28.815887",0,11,166
1526811996,2018-05-20T10:26:36Z,THY79K,"40.975082,28.816093",0,10,103
1526812007,2018-05-20T10:26:47Z,THY79K,"40.97509,28.816345",0,12,82
1526812019,2018-05-20T10:26:59Z,THY79K,"40.975128,28.816593",0,12,78
1526812033,2018-05-20T10:27:13Z,THY79K,"40.975182,28.816895",0,12,75
1526812263,2018-05-20T10:31:03Z,THY79K,"40.975128,28.816624",0,15,261
1526812269,2018-05-20T10:31:09Z,THY79K,"40.975105,28.816404",0,17,262
1526812279,2018-05-20T10:31:19Z,THY79K,"40.975048,28.816046",0,19,258
1526812285,2018-05-20T10:31:25Z,THY79K,"40.975002,28.815781",0,20,258
1526812292,2018-05-20T10:31:32Z,THY79K,"40.97493,28.815323",0,22,258
1526812302,2018-05-20T10:31:42Z,THY79K,"40.974884,28.814907",0,21,264
1526812309,2018-05-20T10:31:49Z,THY79K,"40.974895,28.814606",0,21,284
1526812316,2018-05-20T10:31:56Z,THY79K,"40.975056,28.814209",0,21,300
1526812324,2018-05-20T10:32:04Z,THY79K,"40.97514,28.813925",0,23,281
1526812330,2018-05-20T10:32:10Z,THY79K,"40.975159,28.813599",0,24,270
1526812336,2018-05-20T10:32:16Z,THY79K,"40.975159,28.813202",0,25,270
1526812344,2018-05-20T10:32:24Z,THY79K,"40.975124,28.812668",0,24,253
1526812354,2018-05-20T10:32:34Z,THY79K,"40.974827,28.812317",0,26,196
1526812366,2018-05-20T10:32:46Z,THY79K,"40.974209,28.812284",0,28,180
1526812374,2018-05-20T10:32:54Z,THY79K,"40.973763,28.812286",0,26,180
1526812383,2018-05-20T10:33:03Z,THY79K,"40.973335,28.812317",0,22,177
1526812394,2018-05-20T10:33:14Z,THY79K,"40.972881,28.812317",0,21,180
1526812405,2018-05-20T10:33:25Z,THY79K,"40.972462,28.812332",0,21,180
1526812426,2018-05-20T10:33:46Z,THY79K,"40.971783,28.812363",0,13,177
1526812446,2018-05-20T10:34:06Z,THY79K,"40.971462,28.812363",0,14,177
1526812460,2018-05-20T10:34:20Z,THY79K,"40.971142,28.812378",0,19,177
1526812475,2018-05-20T10:34:35Z,THY79K,"40.97057,28.812057",0,24,219
1526812489,2018-05-20T10:34:49Z,THY79K,"40.970181,28.811569",0,21,225
1526812593,2018-05-20T10:36:33Z,THY79K,"40.969997,28.811302",0,0,227
1526812648,2018-05-20T10:37:28Z,THY79K,"40.969826,28.81105",0,15,225
1526812661,2018-05-20T10:37:41Z,THY79K,"40.969654,28.810638",0,19,225
1526812671,2018-05-20T10:37:51Z,THY79K,"40.969574,28.810272",0,19,258
1526812678,2018-05-20T10:37:58Z,THY79K,"40.96954,28.809891",0,17,258
1526812689,2018-05-20T10:38:09Z,THY79K,"40.969521,28.809586",0,16,258
1526812699,2018-05-20T10:38:19Z,THY79K,"40.969505,28.809158",0,18,258
1526812705,2018-05-20T10:38:25Z,THY79K,"40.969509,28.808899",0,17,258
1526812717,2018-05-20T10:38:37Z,THY79K,"40.969494,28.808508",0,15,258
1526812723,2018-05-20T10:38:43Z,THY79K,"40.969494,28.808306",0,17,258
1526812729,2018-05-20T10:38:49Z,THY79K,"40.969482,28.808071",0,19,267
1526812739,2018-05-20T10:38:59Z,THY79K,"40.969471,28.807617",0,22,267
1526812752,2018-05-20T10:39:12Z,THY79K,"40.96946,28.807037",0,14,267
1526812767,2018-05-20T10:39:27Z,THY79K,"40.969746,28.806915",0,13,267
1526812785,2018-05-20T10:39:45Z,THY79K,"40.970249,28.806961",0,32,357
1526812791,2018-05-20T10:39:51Z,THY79K,"40.971645,28.8069",0,54,357
1526812800,2018-05-20T10:40:00Z,THY79K,"40.973885,28.806808",0,84,357
1526812809,2018-05-20T10:40:09Z,THY79K,"40.978596,28.806652",0,125,357
1526812819,2018-05-20T10:40:19Z,THY79K,"40.987072,28.806351",0,0,359
1526812834,2018-05-20T10:40:34Z,THY79K,"41.000137,28.806089",775,181,359
1526812855,2018-05-20T10:40:55Z,THY79K,"41.017593,28.806946",1650,187,1
1526812864,2018-05-20T10:41:04Z,THY79K,"41.025833,28.807068",1800,197,1
1526812870,2018-05-20T10:41:10Z,THY79K,"41.031609,28.807089",1900,204,1
1526812891,2018-05-20T10:41:31Z,THY79K,"41.052841,28.806396",2350,228,358
1526812897,2018-05-20T10:41:37Z,THY79K,"41.059296,28.806152",2500,233,358
1526812906,2018-05-20T10:41:46Z,THY79K,"41.06913,28.80584",2825,238,358
1526812912,2018-05-20T10:41:52Z,THY79K,"41.075592,28.805603",3000,243,358
1526812918,2018-05-20T10:41:58Z,THY79K,"41.082211,28.805279",3175,248,357
1526812930,2018-05-20T10:42:10Z,THY79K,"41.096783,28.804655",3625,255,358
1526812937,2018-05-20T10:42:17Z,THY79K,"41.103905,28.804155",3875,257,355
1526812945,2018-05-20T10:42:25Z,THY79K,"41.114548,28.801697",4225,261,346
1526812951,2018-05-20T10:42:31Z,THY79K,"41.121094,28.798889",4400,265,339
1526812957,2018-05-20T10:42:37Z,THY79K,"41.128281,28.794373",4650,269,331
1526812963,2018-05-20T10:42:43Z,THY79K,"41.134186,28.78949",4875,270,326
1526812970,2018-05-20T10:42:50Z,THY79K,"41.140778,28.783325",5175,271,324
1526812978,2018-05-20T10:42:58Z,THY79K,"41.149887,28.774963",5575,272,325
1526812993,2018-05-20T10:43:13Z,THY79K,"41.165817,28.760742",6300,273,325
1526813005,2018-05-20T10:43:25Z,THY79K,"41.178108,28.749411",6825,274,325
1526813017,2018-05-20T10:43:37Z,THY79K,"41.191002,28.737425",7375,275,324
1526813031,2018-05-20T10:43:51Z,THY79K,"41.2034,28.72583",7850,278,324
1526813041,2018-05-20T10:44:01Z,THY79K,"41.216328,28.713829",8375,280,325
