Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1525175176,2018-05-01T11:46:16Z,EZY2084,"31.996574,34.88937",0,0,43
1525175310,2018-05-01T11:48:30Z,EZY2084,"31.996582,34.889366",0,0,335
1525175476,2018-05-01T11:51:16Z,EZY2084,"31.996582,34.889366",0,0,335
1525175630,2018-05-01T11:53:50Z,EZY2084,"31.996571,34.889366",0,0,180
1525175850,2018-05-01T11:57:30Z,EZY2084,"31.996571,34.889366",0,0,224
1525175954,2018-05-01T11:59:14Z,EZY2084,"31.996563,34.88937",0,0,154
1525176860,2018-05-01T12:14:20Z,EZY2084,"31.996563,34.88937",0,0,25
1525177001,2018-05-01T12:16:41Z,EZY2084,"31.996563,34.88937",0,0,25
1525177196,2018-05-01T12:19:56Z,EZY2084,"31.996563,34.88937",0,0,25
1525177315,2018-05-01T12:21:55Z,EZY2084,"31.996563,34.88937",0,0,25
1525178194,2018-05-01T12:36:34Z,EZY2084,"31.996424,34.890491",0,11,19
1525178461,2018-05-01T12:41:01Z,EZY2084,"31.998739,34.891388",0,27,19
1525178467,2018-05-01T12:41:07Z,EZY2084,"31.99902,34.891399",0,25,357
1525178473,2018-05-01T12:41:13Z,EZY2084,"31.999283,34.891205",0,27,323
1525178479,2018-05-01T12:41:19Z,EZY2084,"31.999466,34.890903",0,27,306
1525178485,2018-05-01T12:41:25Z,EZY2084,"31.999542,34.890587",0,23,284
1525178493,2018-05-01T12:41:33Z,EZY2084,"31.999496,34.890198",0,26,261
1525178576,2018-05-01T12:42:56Z,EZY2084,"31.99988,34.8885",0,30,300
1525178589,2018-05-01T12:43:09Z,EZY2084,"32.000275,34.887745",0,33,300
1525178597,2018-05-01T12:43:17Z,EZY2084,"32.000507,34.887291",0,34,300
1525178609,2018-05-01T12:43:29Z,EZY2084,"32.000942,34.886452",0,32,300
1525178616,2018-05-01T12:43:36Z,EZY2084,"32.001148,34.886055",0,32,300
1525178624,2018-05-01T12:43:44Z,EZY2084,"32.001469,34.885437",0,16,300
1525178636,2018-05-01T12:43:56Z,EZY2084,"32.002022,34.884354",0,20,300
1525178643,2018-05-01T12:44:03Z,EZY2084,"32.002357,34.883736",0,21,300
1525178650,2018-05-01T12:44:10Z,EZY2084,"32.002754,34.882965",0,23,300
1525178667,2018-05-01T12:44:27Z,EZY2084,"32.003769,34.881016",0,19,300
1525178677,2018-05-01T12:44:37Z,EZY2084,"32.004337,34.879925",0,22,300
1525178683,2018-05-01T12:44:43Z,EZY2084,"32.004696,34.87923",0,23,300
1525178689,2018-05-01T12:44:49Z,EZY2084,"32.005058,34.878525",0,25,300
1525178697,2018-05-01T12:44:57Z,EZY2084,"32.005489,34.877708",0,26,300
1525178703,2018-05-01T12:45:03Z,EZY2084,"32.005875,34.876968",0,28,300
1525178722,2018-05-01T12:45:22Z,EZY2084,"32.007076,34.874672",0,20,300
1525178734,2018-05-01T12:45:34Z,EZY2084,"32.007679,34.873505",0,21,300
1525178741,2018-05-01T12:45:41Z,EZY2084,"32.008167,34.872566",0,23,300
1525178753,2018-05-01T12:45:53Z,EZY2084,"32.008923,34.871098",0,24,303
1525178778,2018-05-01T12:46:18Z,EZY2084,"32.009846,34.869354",0,26,303
1525178785,2018-05-01T12:46:25Z,EZY2084,"32.010109,34.86919",0,26,337
1525178792,2018-05-01T12:46:32Z,EZY2084,"32.010418,34.869274",0,24,11
1525178802,2018-05-01T12:46:42Z,EZY2084,"32.010899,34.868958",0,27,309
1525178808,2018-05-01T12:46:48Z,EZY2084,"32.01107,34.868614",0,30,300
1525178814,2018-05-01T12:46:54Z,EZY2084,"32.011272,34.868225",0,33,300
1525178823,2018-05-01T12:47:03Z,EZY2084,"32.011612,34.86755",0,16,300
1525178830,2018-05-01T12:47:10Z,EZY2084,"32.01189,34.867031",0,17,300
1525178841,2018-05-01T12:47:21Z,EZY2084,"32.01218,34.86647",0,14,300
1525179002,2018-05-01T12:50:02Z,EZY2084,"32.01368,34.865894",0,16,42
1525179035,2018-05-01T12:50:35Z,EZY2084,"32.01376,34.86676",0,30,81
1525179042,2018-05-01T12:50:42Z,EZY2084,"32.014023,34.868393",0,57,81
1525179076,2018-05-01T12:51:16Z,EZY2084,"32.017979,34.894318",825,162,81
1525179097,2018-05-01T12:51:37Z,EZY2084,"32.018909,34.902386",1325,157,83
1525179122,2018-05-01T12:52:02Z,EZY2084,"32.011787,34.918812",2300,153,128
1525179132,2018-05-01T12:52:12Z,EZY2084,"32.003311,34.922173",2750,161,169
1525179187,2018-05-01T12:53:07Z,EZY2084,"31.970581,34.874123",4975,194,256
1525179211,2018-05-01T12:53:31Z,EZY2084,"31.974152,34.847645",5750,206,288
1525179221,2018-05-01T12:53:41Z,EZY2084,"31.977385,34.836189",6000,218,288
1525179236,2018-05-01T12:53:56Z,EZY2084,"31.982458,34.818027",6375,235,287
1525179251,2018-05-01T12:54:11Z,EZY2084,"31.987532,34.798298",6750,251,286
1525179266,2018-05-01T12:54:26Z,EZY2084,"31.992746,34.777279",7125,273,286
1525179282,2018-05-01T12:54:42Z,EZY2084,"31.998596,34.753765",7625,285,286
1525179298,2018-05-01T12:54:58Z,EZY2084,"32.004044,34.731682",8050,282,286
1525179307,2018-05-01T12:55:07Z,EZY2084,"32.007751,34.716576",8175,284,286
1525179322,2018-05-01T12:55:22Z,EZY2084,"32.013275,34.693871",8200,287,286
1525179338,2018-05-01T12:55:38Z,EZY2084,"32.018967,34.670765",8200,289,286
1525179353,2018-05-01T12:55:53Z,EZY2084,"32.024597,34.647362",8200,286,284
1525179368,2018-05-01T12:56:08Z,EZY2084,"32.027481,34.623909",8200,289,274
1525179378,2018-05-01T12:56:18Z,EZY2084,"32.028267,34.60828",8200,289,273
1525179389,2018-05-01T12:56:29Z,EZY2084,"32.029129,34.591881",8200,288,273
1525179400,2018-05-01T12:56:40Z,EZY2084,"32.029953,34.576008",8325,289,273
1525179414,2018-05-01T12:56:54Z,EZY2084,"32.031246,34.551498",8950,290,273
1525179430,2018-05-01T12:57:10Z,EZY2084,"32.032547,34.527676",9750,290,273
1525179445,2018-05-01T12:57:25Z,EZY2084,"32.03389,34.503662",10600,289,273
1525179461,2018-05-01T12:57:41Z,EZY2084,"32.035309,34.47834",10975,308,273
1525179470,2018-05-01T12:57:50Z,EZY2084,"32.036224,34.461197",11150,320,273
1525179487,2018-05-01T12:58:07Z,EZY2084,"32.037762,34.43272",11650,332,273
1525179501,2018-05-01T12:58:21Z,EZY2084,"32.039299,34.405479",12400,334,273
1525179532,2018-05-01T12:58:52Z,EZY2084,"32.042313,34.349358",13975,335,273
1525179563,2018-05-01T12:59:23Z,EZY2084,"32.045334,34.292778",15175,346,273
1525179598,2018-05-01T12:59:58Z,EZY2084,"32.052338,34.224388",16600,361,289
1525179604,2018-05-01T13:00:04Z,EZY2084,"32.056011,34.21479",16850,363,295
1525179614,2018-05-01T13:00:14Z,EZY2084,"32.064651,34.197582",17325,362,301
1525179656,2018-05-01T13:00:56Z,EZY2084,"32.100998,34.12727",18900,371,301
1525179716,2018-05-01T13:01:56Z,EZY2084,"32.155472,34.019825",20925,387,300
1525179777,2018-05-01T13:02:57Z,EZY2084,"32.211136,33.905235",23000,396,298
1525179840,2018-05-01T13:04:00Z,EZY2084,"32.267532,33.783672",24875,409,298
1525179900,2018-05-01T13:05:00Z,EZY2084,"32.322601,33.666283",26625,412,298
1525179960,2018-05-01T13:06:00Z,EZY2084,"32.379501,33.54417",27975,422,298
1525180023,2018-05-01T13:07:03Z,EZY2084,"32.426891,33.442326",29000,427,298
1525180057,2018-05-01T13:07:37Z,EZY2084,"32.458641,33.373943",29650,430,298
1525180146,2018-05-01T13:09:06Z,EZY2084,"32.557377,33.160717",31375,442,298
1525180209,2018-05-01T13:10:09Z,EZY2084,"32.618828,33.027199",32475,443,298
1525180272,2018-05-01T13:11:12Z,EZY2084,"32.680573,32.892406",33825,435,298
1525180335,2018-05-01T13:12:15Z,EZY2084,"32.741364,32.759583",34625,438,298
1525180401,2018-05-01T13:13:21Z,EZY2084,"32.802849,32.624405",35275,442,298
1525180462,2018-05-01T13:14:22Z,EZY2084,"32.86858,32.491058",35900,447,305
1525180526,2018-05-01T13:15:26Z,EZY2084,"32.956329,32.375813",36000,447,314
1525180585,2018-05-01T13:16:25Z,EZY2084,"33.043762,32.27058",36000,450,314
1525180650,2018-05-01T13:17:30Z,EZY2084,"33.137238,32.158081",36025,453,314
1525180712,2018-05-01T13:18:32Z,EZY2084,"33.229641,32.045773",36050,452,314
1525180775,2018-05-01T13:19:35Z,EZY2084,"33.318466,31.938354",36025,450,314
1525180836,2018-05-01T13:20:36Z,EZY2084,"33.411148,31.825823",35975,449,314
1525180900,2018-05-01T13:21:40Z,EZY2084,"33.503132,31.713549",35950,449,314
1525180962,2018-05-01T13:22:42Z,EZY2084,"33.594498,31.6015",35975,450,314
1525181023,2018-05-01T13:23:43Z,EZY2084,"33.681942,31.493912",36000,450,314
1525181087,2018-05-01T13:24:47Z,EZY2084,"33.774673,31.379587",36025,451,314
1525181150,2018-05-01T13:25:50Z,EZY2084,"33.865585,31.267202",36000,451,314
1525181213,2018-05-01T13:26:53Z,EZY2084,"33.958553,31.151733",36000,453,313
1525181273,2018-05-01T13:27:53Z,EZY2084,"34.044846,31.044504",36000,454,313
1525181336,2018-05-01T13:28:56Z,EZY2084,"34.137772,30.928307",36025,453,313
1525181396,2018-05-01T13:29:56Z,EZY2084,"34.226368,30.817165",36000,451,313
1525181480,2018-05-01T13:31:20Z,EZY2084,"34.346428,30.666332",36000,450,313
1525181531,2018-05-01T13:32:11Z,EZY2084,"34.418976,30.574671",36000,451,313
1525181625,2018-05-01T13:33:45Z,EZY2084,"34.554703,30.402603",36000,449,313
1525181689,2018-05-01T13:34:49Z,EZY2084,"34.646255,30.286057",36000,448,313
1525181706,2018-05-01T13:35:06Z,EZY2084,"34.670895,30.254688",36000,447,313
1525181906,2018-05-01T13:38:26Z,EZY2084,"34.957031,29.891949",36000,444,313
1525181970,2018-05-01T13:39:30Z,EZY2084,"35.047504,29.77644",36000,444,313
1525182034,2018-05-01T13:40:34Z,EZY2084,"35.137573,29.661123",36000,444,313
1525182094,2018-05-01T13:41:34Z,EZY2084,"35.222672,29.551989",35975,447,313
1525182157,2018-05-01T13:42:37Z,EZY2084,"35.313263,29.435291",35975,449,313
1525182221,2018-05-01T13:43:41Z,EZY2084,"35.403954,29.317659",36025,452,313
1525182285,2018-05-01T13:44:45Z,EZY2084,"35.494545,29.200199",36050,452,313
1525182348,2018-05-01T13:45:48Z,EZY2084,"35.583847,29.084015",36000,452,313
1525182407,2018-05-01T13:46:47Z,EZY2084,"35.671463,28.96946",36000,452,313
1525182438,2018-05-01T13:47:18Z,EZY2084,"35.715088,28.912296",36000,452,313
1525182513,2018-05-01T13:48:33Z,EZY2084,"35.820644,28.773661",36025,449,313
1525182605,2018-05-01T13:50:05Z,EZY2084,"35.949371,28.603535",36000,443,312
1525182667,2018-05-01T13:51:07Z,EZY2084,"36.037903,28.486029",35975,440,312
1525182730,2018-05-01T13:52:10Z,EZY2084,"36.126114,28.368244",35975,440,312
1525182791,2018-05-01T13:53:11Z,EZY2084,"36.209122,28.257187",35975,441,312
1525182855,2018-05-01T13:54:15Z,EZY2084,"36.298004,28.138676",36000,443,312
1525182912,2018-05-01T13:55:12Z,EZY2084,"36.383507,28.032494",36000,447,317
1525182977,2018-05-01T13:56:17Z,EZY2084,"36.481888,27.918205",36025,449,316
1525183037,2018-05-01T13:57:17Z,EZY2084,"36.572929,27.812767",36025,449,316
1525183104,2018-05-01T13:58:24Z,EZY2084,"36.673969,27.695391",36000,444,316
1525183174,2018-05-01T13:59:34Z,EZY2084,"36.779671,27.572001",36000,448,316
1525183216,2018-05-01T14:00:16Z,EZY2084,"36.843246,27.497463",36000,449,316
1525183305,2018-05-01T14:01:45Z,EZY2084,"36.977047,27.339895",36000,452,316
1525183323,2018-05-01T14:02:03Z,EZY2084,"37.005569,27.306227",35975,452,316
1525183411,2018-05-01T14:03:31Z,EZY2084,"37.140289,27.146749",36000,457,316
1525183472,2018-05-01T14:04:32Z,EZY2084,"37.234108,27.035204",36025,460,316
1525183536,2018-05-01T14:05:36Z,EZY2084,"37.334244,26.921354",36025,461,320
1525183595,2018-05-01T14:06:35Z,EZY2084,"37.432846,26.817043",36000,462,319
1525183658,2018-05-01T14:07:38Z,EZY2084,"37.5336,26.708172",36000,462,319
1525183685,2018-05-01T14:08:05Z,EZY2084,"37.576447,26.661715",36000,462,319
1525183776,2018-05-01T14:09:36Z,EZY2084,"37.723663,26.501829",35975,459,319
1525183840,2018-05-01T14:10:40Z,EZY2084,"37.827301,26.388458",36000,457,319
1525183901,2018-05-01T14:11:41Z,EZY2084,"37.924572,26.281864",36000,455,319
1525183968,2018-05-01T14:12:48Z,EZY2084,"38.029633,26.166512",35975,453,319
1525184033,2018-05-01T14:13:53Z,EZY2084,"38.133404,26.051689",35975,453,318
1525184093,2018-05-01T14:14:53Z,EZY2084,"38.22842,25.946243",35975,454,318
1525184160,2018-05-01T14:16:00Z,EZY2084,"38.33181,25.830828",36000,454,318
1525184225,2018-05-01T14:17:05Z,EZY2084,"38.435394,25.715292",36000,457,318
1525184285,2018-05-01T14:18:05Z,EZY2084,"38.531475,25.607605",36000,458,318
1525184350,2018-05-01T14:19:10Z,EZY2084,"38.634705,25.491327",32825,459,318
1525184390,2018-05-01T14:19:50Z,EZY2084,"38.696869,25.421049",36025,460,318
1525184408,2018-05-01T14:20:08Z,EZY2084,"38.727722,25.38612",36000,460,318
1525184494,2018-05-01T14:21:34Z,EZY2084,"38.86327,25.232309",36000,453,317
1525184514,2018-05-01T14:21:54Z,EZY2084,"38.894211,25.19702",35975,453,317
1525184605,2018-05-01T14:23:25Z,EZY2084,"39.037262,25.033142",36025,459,316
1525184664,2018-05-01T14:24:24Z,EZY2084,"39.127064,24.912659",36025,459,313
1525184724,2018-05-01T14:25:24Z,EZY2084,"39.214554,24.794769",36000,459,313
1525184789,2018-05-01T14:26:29Z,EZY2084,"39.309174,24.666994",36000,456,313
1525184857,2018-05-01T14:27:37Z,EZY2084,"39.409729,24.540222",36000,456,323
1525184866,2018-05-01T14:27:46Z,EZY2084,"39.427231,24.524231",36000,454,324
1525184925,2018-05-01T14:28:45Z,EZY2084,"39.526474,24.430906",36000,452,323
1525184962,2018-05-01T14:29:22Z,EZY2084,"39.592712,24.378185",36000,452,334
1525185028,2018-05-01T14:30:28Z,EZY2084,"39.716583,24.302116",35975,450,334
1525185092,2018-05-01T14:31:32Z,EZY2084,"39.838196,24.225708",35975,450,334
1525185154,2018-05-01T14:32:34Z,EZY2084,"39.952423,24.154236",35975,450,334
1525185214,2018-05-01T14:33:34Z,EZY2084,"40.067551,24.082031",36025,452,334
1525185280,2018-05-01T14:34:40Z,EZY2084,"40.19101,24.0047",36025,451,334
1525185340,2018-05-01T14:35:40Z,EZY2084,"40.303711,23.934448",36025,450,334
1525185406,2018-05-01T14:36:46Z,EZY2084,"40.426567,23.857185",36000,448,334
1525185467,2018-05-01T14:37:47Z,EZY2084,"40.532547,23.766235",35975,448,324
1525185526,2018-05-01T14:38:46Z,EZY2084,"40.633575,23.671875",35975,448,324
1525185573,2018-05-01T14:39:33Z,EZY2084,"40.709015,23.594238",35950,449,314
1525185583,2018-05-01T14:39:43Z,EZY2084,"40.722977,23.573181",35975,450,310
1525185592,2018-05-01T14:39:52Z,EZY2084,"40.734512,23.555748",36000,450,310
1525185654,2018-05-01T14:40:54Z,EZY2084,"40.820957,23.428595",36050,448,312
1525185715,2018-05-01T14:41:55Z,EZY2084,"40.904613,23.305872",36000,446,311
1525185784,2018-05-01T14:43:04Z,EZY2084,"41.000015,23.164551",35975,445,311
1525185850,2018-05-01T14:44:10Z,EZY2084,"41.090424,23.030212",36025,442,311
1525185866,2018-05-01T14:44:26Z,EZY2084,"41.110981,22.999565",36000,442,311
1525185954,2018-05-01T14:45:54Z,EZY2084,"41.229267,22.822474",36000,440,311
1525186022,2018-05-01T14:47:02Z,EZY2084,"41.322098,22.682983",35975,441,311
1525186042,2018-05-01T14:47:22Z,EZY2084,"41.348053,22.643677",35975,441,311
1525186133,2018-05-01T14:48:53Z,EZY2084,"41.472015,22.455931",36025,445,311
1525186193,2018-05-01T14:49:53Z,EZY2084,"41.552811,22.332958",36050,443,311
1525186256,2018-05-01T14:50:56Z,EZY2084,"41.636974,22.204327",36000,435,311
1525186318,2018-05-01T14:51:58Z,EZY2084,"41.720303,22.076643",36000,435,310
1525186381,2018-05-01T14:53:01Z,EZY2084,"41.800369,21.953117",36000,436,310
1525186444,2018-05-01T14:54:04Z,EZY2084,"41.883545,21.824028",36000,434,310
1525186506,2018-05-01T14:55:06Z,EZY2084,"41.965805,21.696375",36025,431,310
1525186573,2018-05-01T14:56:13Z,EZY2084,"42.052032,21.56201",35950,431,310
1525186630,2018-05-01T14:57:10Z,EZY2084,"42.126518,21.445185",36000,435,310
1525186721,2018-05-01T14:58:41Z,EZY2084,"42.243301,21.260979",36025,435,310
1525186783,2018-05-01T14:59:43Z,EZY2084,"42.324738,21.131329",35975,439,310
1525186817,2018-05-01T15:00:17Z,EZY2084,"42.370651,21.052114",35975,440,302
1525186855,2018-05-01T15:00:55Z,EZY2084,"42.409241,20.960354",35975,442,299
1525186917,2018-05-01T15:01:57Z,EZY2084,"42.471516,20.812386",36000,443,299
1525187007,2018-05-01T15:03:27Z,EZY2084,"42.562912,20.596556",36000,440,299
1525187070,2018-05-01T15:04:30Z,EZY2084,"42.627327,20.446579",36000,437,300
1525187132,2018-05-01T15:05:32Z,EZY2084,"42.689285,20.299925",35975,436,299
1525187200,2018-05-01T15:06:40Z,EZY2084,"42.755764,20.140749",35975,434,299
1525187235,2018-05-01T15:07:15Z,EZY2084,"42.79631,20.062696",35975,436,313
1525187241,2018-05-01T15:07:21Z,EZY2084,"42.805157,20.050367",35975,437,314
1525187247,2018-05-01T15:07:27Z,EZY2084,"42.814316,20.038551",35975,437,317
1525187253,2018-05-01T15:07:33Z,EZY2084,"42.822845,20.028666",35975,437,320
1525187259,2018-05-01T15:07:39Z,EZY2084,"42.833458,20.017679",35975,438,323
1525187266,2018-05-01T15:07:46Z,EZY2084,"42.842377,20.009424",35975,438,326
1525187273,2018-05-01T15:07:53Z,EZY2084,"42.856361,19.996948",36000,438,326
1525187333,2018-05-01T15:08:53Z,EZY2084,"42.957752,19.902191",36025,434,325
1525187419,2018-05-01T15:10:19Z,EZY2084,"43.094101,19.77408",36000,433,325
1525187480,2018-05-01T15:11:20Z,EZY2084,"43.197498,19.67704",36000,429,325
1525187545,2018-05-01T15:12:25Z,EZY2084,"43.303398,19.577311",35975,429,325
1525187608,2018-05-01T15:13:28Z,EZY2084,"43.406391,19.47978",35975,430,325
1525187672,2018-05-01T15:14:32Z,EZY2084,"43.510841,19.3806",36000,433,325
1525187737,2018-05-01T15:15:37Z,EZY2084,"43.619801,19.27673",36025,434,325
1525187798,2018-05-01T15:16:38Z,EZY2084,"43.717899,19.182899",36025,433,325
1525187867,2018-05-01T15:17:47Z,EZY2084,"43.828838,19.075991",36000,435,325
1525187917,2018-05-01T15:18:37Z,EZY2084,"43.9104,18.997129",36025,435,325
1525187953,2018-05-01T15:19:13Z,EZY2084,"43.968311,18.94121",36025,435,325
1525188039,2018-05-01T15:20:39Z,EZY2084,"44.11528,18.798119",35975,435,324
1525188103,2018-05-01T15:21:43Z,EZY2084,"44.215271,18.700411",36025,434,324
1525188168,2018-05-01T15:22:48Z,EZY2084,"44.32732,18.59041",36000,433,324
1525188233,2018-05-01T15:23:53Z,EZY2084,"44.434109,18.48477",35975,434,324
1525188303,2018-05-01T15:25:03Z,EZY2084,"44.54826,18.37142",36000,436,324
1525188386,2018-05-01T15:26:26Z,EZY2084,"44.67902,18.23221",36000,437,320
1525188448,2018-05-01T15:27:28Z,EZY2084,"44.779579,18.1194",36000,433,321
1525188513,2018-05-01T15:28:33Z,EZY2084,"44.883541,18.00371",36025,431,320
1525188581,2018-05-01T15:29:41Z,EZY2084,"44.991989,17.882406",36000,437,321
1525188643,2018-05-01T15:30:43Z,EZY2084,"45.086029,17.77655",35975,434,321
1525188707,2018-05-01T15:31:47Z,EZY2084,"45.18951,17.659849",35950,435,321
1525188771,2018-05-01T15:32:51Z,EZY2084,"45.285549,17.55039",36400,443,321
1525188836,2018-05-01T15:33:56Z,EZY2084,"45.362465,17.463364",37075,444,321
1525188912,2018-05-01T15:35:12Z,EZY2084,"45.517849,17.284843",37900,450,321
1525188976,2018-05-01T15:36:16Z,EZY2084,"45.617657,17.169914",38000,447,320
1525189040,2018-05-01T15:37:20Z,EZY2084,"45.723701,17.046799",38000,448,320
1525189101,2018-05-01T15:38:21Z,EZY2084,"45.821457,16.932945",38000,450,320
1525189166,2018-05-01T15:39:26Z,EZY2084,"45.925739,16.811005",38000,451,320
1525189231,2018-05-01T15:40:31Z,EZY2084,"46.032211,16.685686",38025,453,320
1525189297,2018-05-01T15:41:37Z,EZY2084,"46.136948,16.561623",38050,451,320
1525189361,2018-05-01T15:42:41Z,EZY2084,"46.241776,16.437222",37975,448,320
1525189426,2018-05-01T15:43:46Z,EZY2084,"46.347549,16.318542",37950,452,322
1525189491,2018-05-01T15:44:51Z,EZY2084,"46.455276,16.198002",37975,453,322
1525189554,2018-05-01T15:45:54Z,EZY2084,"46.560246,16.079659",37975,458,322
1525189615,2018-05-01T15:46:55Z,EZY2084,"46.663078,15.96286",38000,462,321
1525189675,2018-05-01T15:47:55Z,EZY2084,"46.764145,15.847572",38050,465,321
1525189740,2018-05-01T15:49:00Z,EZY2084,"46.873543,15.722351",38000,462,321
1525189805,2018-05-01T15:50:05Z,EZY2084,"46.976944,15.603333",38025,461,321
1525189870,2018-05-01T15:51:10Z,EZY2084,"47.091614,15.470467",38050,464,321
1525189944,2018-05-01T15:52:24Z,EZY2084,"47.207298,15.3361",38000,456,321
1525190016,2018-05-01T15:53:36Z,EZY2084,"47.3265,15.1966",38025,465,321
1525190080,2018-05-01T15:54:40Z,EZY2084,"47.440502,15.061904",38050,469,321
1525190148,2018-05-01T15:55:48Z,EZY2084,"47.552765,14.929321",38000,449,321
1525190214,2018-05-01T15:56:54Z,EZY2084,"47.661804,14.79879",38000,455,320
1525190279,2018-05-01T15:57:59Z,EZY2084,"47.765759,14.67471",38000,451,321
1525190341,2018-05-01T15:59:01Z,EZY2084,"47.867897,14.551533",38025,452,321
1525190412,2018-05-01T16:00:12Z,EZY2084,"47.971401,14.426",38025,453,320
