Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1525770791,2018-05-08T09:13:11Z,UAL85,"32.005943,34.874809",0,0,244
1525770886,2018-05-08T09:14:46Z,UAL85,"32.006062,34.875061",0,9,241
1525770907,2018-05-08T09:15:07Z,UAL85,"32.006187,34.875328",0,11,250
1525770925,2018-05-08T09:15:25Z,UAL85,"32.006294,34.87558",0,12,272
1525770937,2018-05-08T09:15:37Z,UAL85,"32.006298,34.875782",0,12,284
1525770950,2018-05-08T09:15:50Z,UAL85,"32.006271,34.876015",0,12,292
1525770960,2018-05-08T09:16:00Z,UAL85,"32.00621,34.87624",0,12,306
1525770976,2018-05-08T09:16:16Z,UAL85,"32.006092,34.876469",0,14,323
1525770991,2018-05-08T09:16:31Z,UAL85,"32.00584,34.876663",0,13,343
1525771004,2018-05-08T09:16:44Z,UAL85,"32.005623,34.876743",0,13,345
1525771014,2018-05-08T09:16:54Z,UAL85,"32.006306,34.875664",0,13,345
1525771081,2018-05-08T09:18:01Z,UAL85,"32.004745,34.876995",0,0,166
1525771319,2018-05-08T09:21:59Z,UAL85,"32.005001,34.876926",0,13,345
1525771352,2018-05-08T09:22:32Z,UAL85,"32.005749,34.876923",0,18,16
1525771369,2018-05-08T09:22:49Z,UAL85,"32.006176,34.877205",0,17,30
1525771379,2018-05-08T09:22:59Z,UAL85,"32.006386,34.877403",0,20,53
1525771396,2018-05-08T09:23:16Z,UAL85,"32.006138,34.878063",0,22,120
1525771422,2018-05-08T09:23:42Z,UAL85,"32.005554,34.879204",0,23,120
1525771429,2018-05-08T09:23:49Z,UAL85,"32.005405,34.87949",0,22,120
1525771439,2018-05-08T09:23:59Z,UAL85,"32.005199,34.87989",0,24,120
1525771452,2018-05-08T09:24:12Z,UAL85,"32.00489,34.880478",0,28,120
1525771478,2018-05-08T09:24:38Z,UAL85,"32.004009,34.882168",0,16,120
1525771485,2018-05-08T09:24:45Z,UAL85,"32.003731,34.882713",0,17,120
1525771533,2018-05-08T09:25:33Z,UAL85,"32.001858,34.886314",0,26,120
1525771562,2018-05-08T09:26:02Z,UAL85,"32.002232,34.887646",0,31,25
1525771569,2018-05-08T09:26:09Z,UAL85,"32.002464,34.887798",0,34,28
1525771590,2018-05-08T09:26:30Z,UAL85,"32.003895,34.888725",0,16,28
1525771597,2018-05-08T09:26:37Z,UAL85,"32.004284,34.888966",0,16,28
1525771608,2018-05-08T09:26:48Z,UAL85,"32.005081,34.889481",0,17,28
1525771614,2018-05-08T09:26:54Z,UAL85,"32.005497,34.889748",0,17,28
1525771620,2018-05-08T09:27:00Z,UAL85,"32.005909,34.890026",0,18,28
1525771626,2018-05-08T09:27:06Z,UAL85,"32.006355,34.890297",0,18,28
1525771634,2018-05-08T09:27:14Z,UAL85,"32.006973,34.890709",0,19,28
1525771641,2018-05-08T09:27:21Z,UAL85,"32.007545,34.891068",0,20,28
1525771648,2018-05-08T09:27:28Z,UAL85,"32.008038,34.891396",0,20,28
1525771656,2018-05-08T09:27:36Z,UAL85,"32.008759,34.891865",0,21,28
1525771665,2018-05-08T09:27:45Z,UAL85,"32.009274,34.892185",0,21,28
1525771678,2018-05-08T09:27:58Z,UAL85,"32.010494,34.892971",0,22,28
1525771692,2018-05-08T09:28:12Z,UAL85,"32.011715,34.893768",0,25,28
1525771708,2018-05-08T09:28:28Z,UAL85,"32.01321,34.894733",0,18,28
1525771725,2018-05-08T09:28:45Z,UAL85,"32.014114,34.895309",0,24,28
1525771731,2018-05-08T09:28:51Z,UAL85,"32.014324,34.895435",0,23,28
1525771743,2018-05-08T09:29:03Z,UAL85,"32.014709,34.895683",0,16,28
1525771758,2018-05-08T09:29:18Z,UAL85,"32.015018,34.895889",0,15,28
1525771769,2018-05-08T09:29:29Z,UAL85,"32.015278,34.896053",0,20,28
1525771776,2018-05-08T09:29:36Z,UAL85,"32.015488,34.896191",0,23,28
1525771789,2018-05-08T09:29:49Z,UAL85,"32.015953,34.896503",0,26,28
1525771796,2018-05-08T09:29:56Z,UAL85,"32.016254,34.896698",0,19,28
1525771843,2018-05-08T09:30:43Z,UAL85,"32.016464,34.896824",0,2,28
1525771856,2018-05-08T09:30:56Z,UAL85,"32.016674,34.896965",0,18,28
1525771880,2018-05-08T09:31:20Z,UAL85,"32.017799,34.897701",0,30,28
1525771897,2018-05-08T09:31:37Z,UAL85,"32.018486,34.897949",0,20,329
1525771904,2018-05-08T09:31:44Z,UAL85,"32.018509,34.897713",0,17,300
1525771914,2018-05-08T09:31:54Z,UAL85,"32.018467,34.897469",0,16,270
1525771950,2018-05-08T09:32:30Z,UAL85,"32.018383,34.896999",0,25,261
1525771957,2018-05-08T09:32:37Z,UAL85,"32.018166,34.895584",0,44,258
1525771971,2018-05-08T09:32:51Z,UAL85,"32.017113,34.88868",0,110,258
1525771980,2018-05-08T09:33:00Z,UAL85,"32.016117,34.882156",0,145,258
1525771991,2018-05-08T09:33:11Z,UAL85,"32.014484,34.871529",0,175,258
1525772007,2018-05-08T09:33:27Z,UAL85,"32.01202,34.855919",800,190,259
1525772019,2018-05-08T09:33:39Z,UAL85,"32.009224,34.843533",1275,195,252
1525772026,2018-05-08T09:33:46Z,UAL85,"32.007549,34.837646",1600,193,251
1525772035,2018-05-08T09:33:55Z,UAL85,"32.004776,34.827156",2075,191,252
1525772043,2018-05-08T09:34:03Z,UAL85,"32.002853,34.819408",2375,189,253
1525772049,2018-05-08T09:34:09Z,UAL85,"32.00148,34.813313",2550,193,255
1525772061,2018-05-08T09:34:21Z,UAL85,"31.998798,34.800091",3000,192,257
1525772067,2018-05-08T09:34:27Z,UAL85,"31.997726,34.79414",3175,193,257
1525772073,2018-05-08T09:34:33Z,UAL85,"31.996628,34.787933",3400,193,258
1525772097,2018-05-08T09:34:57Z,UAL85,"31.993881,34.772003",3825,200,258
1525772107,2018-05-08T09:35:07Z,UAL85,"31.992508,34.762554",3950,209,260
1525772132,2018-05-08T09:35:32Z,UAL85,"31.997681,34.731987",4550,240,294
1525772142,2018-05-08T09:35:42Z,UAL85,"32.002258,34.720367",4675,252,294
1525772152,2018-05-08T09:35:52Z,UAL85,"32.007065,34.707512",4975,259,292
1525772162,2018-05-08T09:36:02Z,UAL85,"32.010315,34.69746",5300,259,290
1525772177,2018-05-08T09:36:17Z,UAL85,"32.017685,34.672356",6200,257,288
1525772192,2018-05-08T09:36:32Z,UAL85,"32.021423,34.658615",6600,260,287
1525772207,2018-05-08T09:36:47Z,UAL85,"32.02631,34.633949",7425,257,280
1525772217,2018-05-08T09:36:57Z,UAL85,"32.027756,34.619514",7825,258,275
1525772232,2018-05-08T09:37:12Z,UAL85,"32.028809,34.600231",8325,261,273
1525772247,2018-05-08T09:37:27Z,UAL85,"32.029613,34.582439",8775,261,273
1525772262,2018-05-08T09:37:42Z,UAL85,"32.030685,34.554913",9500,267,272
1525772277,2018-05-08T09:37:57Z,UAL85,"32.031616,34.534683",9975,271,273
1525772292,2018-05-08T09:38:12Z,UAL85,"32.033478,34.496193",10800,277,273
1525772306,2018-05-08T09:38:26Z,UAL85,"32.034714,34.474823",11025,287,274
1525772324,2018-05-08T09:38:44Z,UAL85,"32.036499,34.44593",11400,299,274
1525772334,2018-05-08T09:38:54Z,UAL85,"32.037529,34.429024",11525,309,273
1525772349,2018-05-08T09:39:09Z,UAL85,"32.039154,34.401325",11825,320,274
1525772359,2018-05-08T09:39:19Z,UAL85,"32.040115,34.385338",12075,323,273
1525772392,2018-05-08T09:39:52Z,UAL85,"32.04335,34.326279",13100,332,273
1525772421,2018-05-08T09:40:21Z,UAL85,"32.046204,34.273224",13825,343,273
1525772458,2018-05-08T09:40:58Z,UAL85,"32.056183,34.204506",15100,348,284
1525772492,2018-05-08T09:41:32Z,UAL85,"32.066486,34.158066",15750,355,284
1525772527,2018-05-08T09:42:07Z,UAL85,"32.080215,34.094749",16950,354,284
1525772562,2018-05-08T09:42:42Z,UAL85,"32.093903,34.031799",18150,352,284
1525772627,2018-05-08T09:43:47Z,UAL85,"32.120819,33.910072",20250,348,285
1525772647,2018-05-08T09:44:07Z,UAL85,"32.129654,33.873707",20775,350,286
1525772694,2018-05-08T09:44:54Z,UAL85,"32.155258,33.764462",22225,353,284
1525772748,2018-05-08T09:45:48Z,UAL85,"32.177216,33.663429",23275,362,284
1525772835,2018-05-08T09:47:15Z,UAL85,"32.216309,33.496326",24900,373,286
1525772898,2018-05-08T09:48:18Z,UAL85,"32.246269,33.369514",26050,380,285
1525772960,2018-05-08T09:49:20Z,UAL85,"32.280022,33.244068",26700,399,296
1525772966,2018-05-08T09:49:26Z,UAL85,"32.285465,33.232635",26750,402,299
1525772972,2018-05-08T09:49:32Z,UAL85,"32.292252,33.220459",26800,404,302
1525772980,2018-05-08T09:49:40Z,UAL85,"32.299072,33.209801",26825,408,308
1525772987,2018-05-08T09:49:47Z,UAL85,"32.309299,33.196198",26900,413,313
